course_id,course_name,department,credits,course_type,description,learning_outcomes,difficulty,semester,elective_group
CS101,Programming Fundamentals,Computer Science,4,Core,"Introduction to algorithmic problem solving, control structures, functions, and memory basics.",Write modular procedural programs; Debug logic errors; Apply basic control flow,Easy,1,Core Computing
CS102,Object Oriented Programming,Computer Science,4,Core,"Principles of OOP including encapsulation, inheritance, polymorphism, and abstraction.",Design class hierarchies; Implement polymorphic interfaces; Handle object lifetimes,Medium,2,Core Computing
MATH101,Discrete Mathematics & Linear Algebra,Mathematics,3,Core,"Set theory, propositional logic, matrices, vector spaces, and graph foundations.",Prove mathematical theorems; Compute eigenvalues and matrix inverses; Model graph networks,Medium,1,Foundational Math
MATH201,Probability and Statistics for Computing,Mathematics,3,Core,"Probability distributions, random variables, hypothesis testing, and regression analysis.",Calculate expectation and variance; Formulate statistical hypotheses; Interpret p-values,Medium,2,Foundational Math
CS201,Data Structures and Algorithms,Computer Science,4,Core,"Linear and non-linear data structures, asymptotic notation, sorting, searching, and recursion.",Analyze Big-O complexity; Implement balanced search trees and graphs; Choose optimal data structures,Hard,3,Core Computing
CS202,Computer Organization & Architecture,Computer Science,3,Core,"Instruction set architecture, CPU datapath, pipelining, cache memory, and I/O bus systems.",Understand assembly instructions; Analyze cache hit rates; Model RISC pipelining,Medium,3,Core Computing
CS203,Operating Systems Principles,Computer Science,4,Core,"Process management, virtual memory, concurrency, multi-threading, deadlocks, and file systems.",Manage POSIX threads and locks; Analyze page replacement algorithms; Prevent race conditions,Hard,4,Core Computing
CS204,Computer Networks,Computer Science,3,Core,"OSI and TCP/IP stack, routing protocols, transport layer flow control, and DNS/HTTP.",Analyze packet traces; Configure subnet masks and routing tables; Implement socket programs,Medium,4,Core Computing
CS301,Database Systems,Computer Science,3,Core Elective,"Relational database design, ER modeling, relational algebra, SQL querying, normalization, and indexing.",Write complex SQL queries; Normalize schemas to 3NF/BCNF; Design ACID transaction models,Medium,5,Data Management
CS302,Machine Learning,Computer Science,3,Elective,"Supervised and unsupervised learning, decision trees, SVMs, gradient descent, and cross-validation.",Apply machine learning algorithms to real-world datasets; Evaluate classification metrics; Train regression models,Hard,5,Artificial Intelligence
CS303,Artificial Intelligence,Computer Science,3,Elective,"State-space search, heuristics, knowledge representation, game playing, and probabilistic reasoning.",Implement A* and minimax algorithms; Formulate constraint satisfaction problems; Build logic inference systems,Hard,6,Artificial Intelligence
CS304,Web Development,Computer Science,3,Elective,"Client-server web development, HTML5/CSS3, JavaScript DOM manipulation, REST APIs, and asynchronous programming.",Build responsive web applications; Integrate RESTful JSON endpoints; Implement client-side routing,Medium,5,Software Engineering
CS305,Cyber Security Fundamentals,Computer Science,3,Elective,"Core security concepts, CIA triad, threat modeling, basic cryptography, access control, and defense-in-depth.",Identify OWASP Top 10 vulnerabilities; Perform security risk assessment; Encrypt data with symmetric/asymmetric ciphers,Medium,5,Security & Networks
CS306,Cloud Computing,Computer Science,3,Elective,"Virtualization, cloud service models (IaaS/PaaS/SaaS), AWS/Azure architecture, serverless, and cloud storage.",Deploy scalable cloud workloads; Configure virtual VPC networks; Architect serverless compute functions,Medium,6,Systems & Infrastructure
CS307,Data Analytics & Visualization,Computer Science,3,Elective,"Exploratory data analysis, Pandas manipulation, Seaborn/Plotly interactive charts, storytelling with data.",Clean and reshape raw tabular data; Construct interactive analytical dashboards; Communicate statistical insights,Medium,5,Data Science
CS308,Software Engineering Methodologies,Computer Science,3,Elective,"Software development lifecycle, Agile/Scrum, requirement specification, design patterns, and unit testing.",Author software requirement specifications; Apply Gang-of-Four design patterns; Construct automated unit test suites,Medium,6,Software Engineering
CS401,Deep Learning & Neural Networks,Computer Science,3,Elective,"Multi-layer perceptrons, backpropagation, CNNs for vision, RNNs/Transformers, and PyTorch frameworks.",Train deep neural networks using PyTorch; Architect convolutional feature extractors; Optimize loss convergence,Hard,7,Artificial Intelligence
CS402,Natural Language Processing,Computer Science,3,Elective,"Tokenization, text embeddings, sentiment classification, sequence-to-sequence models, and LLM fine-tuning.",Build NLP pipelines with spaCy and HuggingFace; Train transformer attention heads; Extract named entities,Hard,7,Artificial Intelligence
CS403,Computer Vision,Computer Science,3,Elective,"Image processing, edge detection, object detection, segmentation, and OpenCV/YOLO architectures.",Implement spatial filtering; Train YOLO object detection pipelines; Segment image regions,Hard,7,Artificial Intelligence
CS404,Advanced Database Management & NoSQL,Computer Science,3,Elective,"Distributed query processing, MongoDB document stores, Cassandra wide-column stores, Redis caching.",Architect document and key-value schemas; Implement distributed sharding; Optimize Redis cache policies,Medium,6,Data Management
CS405,Network Security & Cryptography,Computer Science,3,Elective,"RSA, ECC, PKI certificates, TLS handshakes, firewalls, intrusion detection, and zero trust models.",Verify X.509 certificate chains; Configure iptables and snort rules; Mitigate man-in-the-middle attacks,Hard,6,Security & Networks
CS406,Ethical Hacking & Penetration Testing,Computer Science,3,Elective,"Reconnaissance, vulnerability scanning with Nessus, Metasploit exploitation, privilege escalation, and red-team audits.",Perform authorized penetration assessments; Exploit buffer overflows responsibly; Formulate remediation advisories,Hard,7,Security & Networks
CS407,DevOps & Continuous Integration,Computer Science,3,Elective,"GitOps, GitHub Actions CI/CD pipelines, Docker containerization, infrastructure testing, and release automation.",Automate deployment pipelines with GitHub Actions; Containerize microservices; Manage semantic artifact versioning,Medium,6,Systems & Infrastructure
CS408,Distributed Systems & Microservices,Computer Science,3,Elective,"CAP theorem, consensus algorithms (Raft/Paxos), RPC frameworks, event-driven streaming with Kafka.",Design fault-tolerant distributed services; Implement Raft leader election; Handle eventual consistency,Hard,7,Systems & Infrastructure
CS409,Full Stack Web Engineering,Computer Science,3,Elective,"Modern full stack development, React/Next.js frontend, Node.js/Express backend, JWT auth, and database integration.",Develop full stack SPA applications; Secure API endpoints with JWT; Manage state across client and server,Hard,6,Software Engineering
CS410,Mobile Application Development,Computer Science,3,Elective,"Cross-platform mobile apps with Flutter/React Native, mobile UI patterns, device sensors, and offline sync.",Publish cross-platform mobile apps; Integrate GPS and local SQLite persistence; Design adaptive mobile layouts,Medium,6,Software Engineering
CS411,Big Data Engineering,Computer Science,3,Elective,"Hadoop ecosystem, Apache Spark distributed dataframes, batch vs stream processing, data lake architectures.",Process terabyte datasets with Apache Spark; Construct distributed ETL data pipelines; Query Parquet data lakes,Hard,7,Data Science
CS412,Data Mining & Knowledge Discovery,Computer Science,3,Elective,"Association rule mining (Apriori), clustering (K-Means, DBSCAN), anomaly detection, and graph analytics.",Extract frequent itemsets; Cluster high-dimensional data; Detect fraudulent transaction anomalies,Medium,6,Data Science
CS413,Business Intelligence & Data Warehousing,Information Systems,3,Elective,"Star and snowflake dimensional schemas, ETL pipelines, OLAP cubes, PowerBI integration, enterprise reporting.",Model dimensional data warehouses; Build automated SQL ETL stages; Design executive KPI scorecards,Medium,6,Data Management
CS414,Database Administration & Tuning,Computer Science,3,Elective,"PostgreSQL/Oracle server tuning, query execution plan analysis, index optimization, backup and replication.",Analyze EXPLAIN query plans; Optimize B-tree and GiST indices; Configure master-replica failover clustering,Hard,7,Data Management
CS415,Cloud Security & Governance,Computer Science,3,Elective,"IAM policy enforcement, cloud compliance (SOC2/HIPAA), KMS key management, cloud incident response.",Audit IAM least privilege policies; Secure Kubernetes cluster ingress; Monitor AWS CloudTrail telemetry,Hard,7,Security & Networks
CS416,Software Testing & Quality Assurance,Computer Science,3,Elective,"Black-box and white-box testing, Cypress E2E testing, mutation testing, test coverage metrics, code audits.",Design comprehensive test plans; Implement Cypress E2E automation; Measure branch and mutation coverage,Easy,5,Software Engineering
CS417,Kubernetes & Container Orchestration,Computer Science,3,Elective,"Pod lifecycle, replica sets, ingress controllers, Helm charts, stateful sets, and cluster monitoring.",Manage multi-node Kubernetes clusters; Package cloud applications in Helm; Configure horizontal pod autoscalers,Hard,7,Systems & Infrastructure
CS418,Time Series Analysis & Forecasting,Mathematics,3,Elective,"ARIMA, SARIMA, exponential smoothing, Prophet, recurrent neural networks for temporal sequences.",Decompose seasonal trend components; Fit ARIMA forecasting models; Evaluate MAPE and RMSE accuracy,Medium,6,Data Science
CS419,Information Security Management,Information Systems,3,Elective,"ISO 27001 standard, risk management frameworks, security policies, business continuity planning.",Draft organizational security policies; Conduct ISO 27001 compliance gap analysis; Design disaster recovery drills,Easy,5,Security & Networks
CS420,Frontend Engineering with React,Computer Science,3,Elective,"React hooks, state management with Redux/Zustand, Tailwind CSS styling, web performance optimization.",Architect modular React components; Manage global application state; Optimize Core Web Vitals performance,Medium,5,Software Engineering
CS421,Backend Engineering with Node & Go,Computer Science,3,Elective,"Go concurrency patterns, goroutines, Node.js event loop, gRPC protocols, and microservice APIs.",Build high-throughput Go backend microservices; Implement gRPC protobuf streaming; Handle concurrent connections,Hard,6,Software Engineering
CS422,Reinforcement Learning,Computer Science,3,Elective,"Markov decision processes, Q-learning, policy gradients, actor-critic models, and OpenAI Gym environments.",Formulate MDP reward functions; Train Deep Q-Networks (DQN); Optimize continuous action policy gradients,Hard,8,Artificial Intelligence
CS423,Information Retrieval & Search Engines,Computer Science,3,Elective,"Inverted index construction, vector space ranking, BM25, semantic vector embeddings, Elasticsearch.",Build inverted index search engines; Tune BM25 relevance parameters; Integrate vector embeddings with Faiss,Hard,7,Artificial Intelligence
CS424,Database Architecture & High Availability,Computer Science,3,Elective,"Multi-region replication, consensus-based clustering, distributed transactions, zero-downtime migrations.",Implement active-active multi-region replication; Coordinate 2-phase commit transactions; Execute zero-downtime DDL,Hard,7,Data Management
CS425,Site Reliability Engineering,Computer Science,3,Elective,"SLIs/SLOs/Error budgets, Prometheus alerting, incident command, post-mortems, automated runbooks.",Define measurable SLOs and error budgets; Instrument Prometheus metrics; Author blameless post-mortem reviews,Medium,7,Systems & Infrastructure
CS426,API Design and Microservices Architecture,Computer Science,3,Elective,"OpenAPI specifications, domain-driven design (DDD), API gateways, rate limiting, circuit breakers.",Specify enterprise REST/GraphQL APIs; Implement API gateway rate limiting; Apply domain-driven bounded contexts,Medium,6,Software Engineering
CS427,Data Governance and Ethics,Information Systems,2,Elective,"GDPR compliance, data lineage, algorithmic bias auditing, privacy-preserving data synthesis.",Audit algorithmic fairness metrics; Document data catalog lineage; Ensure GDPR privacy compliance,Easy,5,Data Science
CS428,Secure Software Lifecycle,Computer Science,3,Elective,"DevSecOps, static code analysis (SAST), dynamic testing (DAST), software supply chain security (SBOM).",Integrate SAST scanning in CI pipelines; Generate and verify Software Bills of Materials; Audit dependency CVEs,Medium,6,Security & Networks
CS429,Cloud Native Applications,Computer Science,3,Elective,"12-factor apps, serverless architectures, event messaging, cloud storage patterns, multi-tenancy.",Refactor monoliths to 12-factor cloud apps; Implement asynchronous pub/sub messaging; Build multi-tenant cloud backends,Medium,7,Systems & Infrastructure
